Priority,Epic,Feature,Task ID,Task Name,Task Type,Story Points,Sprint,Dependencies,Acceptance Criteria,Detailed AI Prompt
P2-High,Warehouse Management,Multi-Warehouse Support,WH-004,Add multi-warehouse support to data model,Database Schema,3,18,WH-002,"- Company can have multiple warehouses
- Barrels track which warehouse they're in
- Orders can specify source warehouse
- Transfers between warehouses tracked
- Warehouse-specific capacity and utilization metrics","Extend database schema for multi-warehouse support. Currently Caskr assumes single warehouse per company. Changes needed: 1) warehouses table already created in WH-002. 2) Update barrels table: warehouse_id FK (already added in WH-002), Add index on warehouse_id. Update existing barrels: SET warehouse_id = (SELECT id FROM warehouses WHERE company_id = barrels.company_id LIMIT 1). Make warehouse_id NOT NULL after backfill. 3) Update orders table: Add fulfillment_warehouse_id FK (which warehouse will fulfill this order). 4) Create inter_warehouse_transfers table (id, from_warehouse_id FK, to_warehouse_id FK, transfer_date DATE, barrels_count INTEGER, proof_gallons DECIMAL(12,2), status ENUM('Pending', 'In_Transit', 'Completed'), initiated_by_user_id FK, completed_at, notes TEXT). Link barrels to transfers: barrel_transfers (id, barrel_id FK, transfer_id FK, transferred_at). 5) Create warehouse_capacity_snapshots (id, warehouse_id FK, snapshot_date DATE, total_capacity INTEGER, occupied_positions INTEGER, occupancy_percentage DECIMAL(5,2)). Daily snapshots for trending. 6) Update views and stored procedures to filter by warehouse_id where applicable. 7) Update Company model in C#: Add navigation property List<Warehouse> Warehouses. Migration file: Database/initdb.d/11-migration-multi-warehouse-support.sql. This enables large distilleries with multiple facilities to manage all inventory in one system."
P2-High,Warehouse Management,Multi-Warehouse Support,WH-005,Create warehouse management UI,User Interface,5,18,WH-004,"- Warehouse list page for company admins
- Create/edit/deactivate warehouse
- View capacity and occupancy stats
- Switch between warehouses in barrel list
- Warehouse filter in all relevant screens","Create warehouse management UI. File: caskr.client/src/pages/WarehousesPage.tsx. This page allows admins to configure warehouses. Implementation: 1) **Warehouse list**: Table showing all warehouses for company. Columns: [Name | Type | Location | Capacity | Occupancy | Status | Actions]. Example row: 'Rickhouse #1 | Rickhouse | Bardstown, KY | 5,000 barrels | 3,245 (65%) | Active | [Edit] [View] [Deactivate]'. Occupancy shown as progress bar (color: green <80%, orange 80-95%, red >95%). 2) **Create warehouse button**: Opens modal/form with fields: Warehouse Name (required), Warehouse Type (dropdown: Rickhouse, Palletized, Tank Farm, Outdoor), Address (full address), Total Capacity (integer, number of barrel positions), Dimensions (Length x Width x Height in feet), Notes (textarea). Submit calls POST /api/warehouses. 3) **Edit warehouse**: Same form pre-filled, PUT /api/warehouses/{id}. 4) **Deactivate warehouse**: Confirmation dialog (can't deactivate if barrels still stored there). Sets is_active = false. Warehouse hidden from dropdowns but remains in database for historical data. 5) **Warehouse selector**: In main navigation (top bar or sidebar), dropdown to select active warehouse. Filters all barrel/order data to selected warehouse. Store selection in Redux: selectedWarehouseId. If user has access to multiple warehouses, show 'All Warehouses' option to view combined data. 6) **Integration**: Update BarrelsListPage, OrdersListPage, Dashboard to filter by selectedWarehouseId. Add warehouse column to barrel list table. Add warehouse filter to all search/filter panels. Backend: Update all GET endpoints to accept optional warehouseId param. Use React Native Paper DataTable, Modal, Select components."
P2-High,Barcode Scanning,Label Printing,SCAN-001,Research thermal printer integration,Research & Analysis,2,19,None,"- Evaluation of thermal printer options (Zebra, Brother, Dymo)
- Label size standards for barrels (2x3 inch, 4x6 inch)
- Barcode format decision (Code128, QR, both)
- Print from web (browser integration) and mobile
- Cost analysis and recommendations","Research barcode label printing solutions for Caskr. Distilleries need to print barrel tags on-demand. Requirements: 1) **Printer options**: Zebra ZD series (industry standard, expensive $300-600), Brother QL series (affordable $100-200, good quality), Dymo LabelWriter (cheapest $80-150, lower quality). All support thermal printing (no ink/toner needed). 2) **Label sizes**: Standard options: 2"" x 1"" (small barrel tag), 2"" x 3"" (barrel bung tag), 4"" x 6"" (full barrel side label with TTB info). Recommendation: 2x3"" for primary use case. 3) **Barcode formats**: Code128 (linear, compact, high density), QR Code (2D, stores more data, works well with phone cameras), Both: Print QR on top, Code128 below for redundancy. Data to encode: Barrel SKU (minimum), or Full URL: https://app.caskr.com/barrels/{sku} (QR code can deep link to app). 4) **Printing from web browser**: Challenge: Browsers can't directly access USB printers for security. Solutions: WebUSB API (experimental, limited browser support), Print driver (user installs driver that exposes printer as network endpoint), Cloud print service (Caskr backend sends print job to cloud, user's computer polls and prints), Electron app (desktop app with native printer access). Recommendation: Start with browser print dialog (user manually prints PDF label), upgrade to WebUSB or print driver later. 5) **Printing from mobile**: iOS/Android: Use printer manufacturer's SDK (Zebra has ZebraPrinter SDK for React Native), or Bluetooth/WiFi connection. Most modern thermal printers support wireless. 6) **Cost**: Printer: $150-600 one-time, Labels: $20-50 per 1000 labels. **Document findings in docs/BARCODE_PRINTING_RESEARCH.md with recommendation**."
P2-High,Barcode Scanning,Label Printing,SCAN-002,Create label template designer,User Interface,5,19,SCAN-001,"- Label template editor UI
- Drag-and-drop elements: Text, barcode, QR code, image
- Element properties: Font, size, position, content
- Template preview
- Save templates for reuse
- Sample data mode for testing","Create label template designer for custom barrel tags. File: caskr.client/src/pages/LabelTemplatesPage.tsx. This allows users to design custom label layouts. Implementation: 1) **Canvas**: HTML5 Canvas or SVG-based editor (consider using Fabric.js library for easier drag-drop). Canvas sized to label dimensions (e.g., 2"" x 3"" at 203 DPI = 406 x 609 pixels). Grid overlay for alignment. 2) **Element toolbox**: Left sidebar with draggable elements: Text (static text or dynamic fields like {{barrel_sku}}, {{batch_name}}, {{fill_date}}), Barcode (Code128, configure data source), QR Code (configure URL or data), Image (upload company logo), Line/Rectangle (decorative elements). Drag element onto canvas to add. 3) **Element properties panel**: Right sidebar shows properties of selected element. For Text: Font (dropdown of web-safe fonts), Size (points), Color (color picker), Bold/Italic toggles, Data source (dropdown: Static text, Barrel SKU, Batch Name, Fill Date, ABV, etc.). For Barcode/QR: Format (Code128, QR), Data source (same as text), Size. For Image: Upload button, Scale controls. 4) **Canvas interactions**: Click element to select (show selection handles), Drag to reposition, Resize handles at corners, Delete key to remove, Duplicate button, Bring to front/Send to back (z-order). 5) **Template metadata**: Template name input at top, Label size dropdown (2x1, 2x3, 4x6), Print orientation (portrait/landscape). 6) **Preview mode**: Toggle 'Preview with Sample Data' shows what label looks like with actual barrel data. Fetch sample barrel from API, replace {{barrel_sku}} placeholders with real values. 7) **Save template**: POST /api/label-templates with {name, label_size, elements: [{type, properties, position}] as JSON}. Saved templates appear in templates list. 8) **Print**: 'Print Test Label' button generates PDF with current template, opens print dialog. Consider using jsPDF library for PDF generation. Complex feature - 5-8 story points."
P2-High,Barcode Scanning,Label Printing,SCAN-003,Create batch label printing,User Interface,3,20,SCAN-002,"- Select multiple barrels for batch printing
- Choose label template
- Preview all labels before printing
- Generate single PDF with all labels
- Support for different label sizes in one print job","Create batch label printing feature. File: caskr.client/src/pages/BatchPrintLabelsPage.tsx or modal from BarrelsListPage. Implementation: 1) **Barrel selection**: In BarrelsListPage, add checkboxes to each row. Select individual barrels or 'Select All' checkbox. Selected count shown in header (e.g., '15 barrels selected'). 2) **Batch print button**: Appears when barrels selected. Opens batch print modal. 3) **Print modal**: Step 1 - Template selection: Dropdown showing saved label templates. Preview thumbnail of template. Step 2 - Label size confirmation: Dropdown (2x1, 2x3, 4x6) - should match template size. Step 3 - Preview: Scrollable list of all labels to be printed. Each label rendered with that barrel's data. User can deselect individual labels if needed. Total label count shown (e.g., 'Printing 15 labels'). 4) **Generate PDF**: Button 'Generate Print File'. Calls POST /api/labels/batch-print with {barrelIds: [...], templateId: 123, labelSize: '2x3'}. Backend: Fetches all barrels, renders each label using template, combines into single PDF with page breaks at label boundaries. Returns PDF file. 5) **Download & print**: PDF downloads automatically, opens in new tab. User can print via browser print dialog. Include print CSS to remove margins/headers. 6) **Printer-specific formats**: Option to export in ZPL (Zebra Programming Language) for direct printing to Zebra printers without PDF (advanced). 7) **Scheduling**: Option to 'Print all barrels filled today' as daily batch job (future enhancement). Use jsPDF or PDFKit (backend) for PDF generation. Backend endpoint: LabelsController.BatchPrint(). This streamlines barrel tagging workflow significantly."
P2-High,API Integration,Public API Documentation,API-001,Create OpenAPI/Swagger documentation,Documentation,3,20,None,"- Swagger UI available at /api/docs
- All endpoints documented with descriptions
- Request/response schemas included
- Authentication requirements noted
- Example requests and responses
- Try it out functionality working","Create comprehensive API documentation using OpenAPI/Swagger. Caskr already uses ASP.NET Core and likely has Swashbuckle installed. Enhance existing docs: 1) **Install/Update Swashbuckle**: In Caskr.server.csproj, ensure latest version: <PackageReference Include=""Swashbuckle.AspNetCore"" Version=""6.5.0"" />. 2) **Configure Swagger in Program.cs**: builder.Services.AddSwaggerGen(options => { options.SwaggerDoc(""v1"", new OpenApiInfo { Title = ""Caskr API"", Version = ""v1"", Description = ""Distillery management system API"", Contact = new OpenApiContact { Name = ""Caskr Support"", Email = ""support@caskr.com"" } }); options.AddSecurityDefinition(""Bearer"", new OpenApiSecurityScheme { Type = SecuritySchemeType.Http, Scheme = ""bearer"", BearerFormat = ""JWT"" }); options.AddSecurityRequirement(new OpenApiSecurityRequirement { ... }); }). Enable in app: app.UseSwagger(); app.UseSwaggerUI(). 3) **Document controllers**: Add XML documentation comments to all controller actions: /// <summary>Gets all barrels for a company</summary> /// <param name=""companyId"">Company ID</param> /// <returns>List of barrels</returns> /// <response code=""200"">Returns barrel list</response> /// <response code=""401"">Unauthorized</response> [ProducesResponseType(typeof(List<Barrel>), 200)] [ProducesResponseType(401)]. 4) **Enable XML comments**: In .csproj: <GenerateDocumentationFile>true</GenerateDocumentationFile>. In Swagger config: options.IncludeXmlComments(Path.Combine(AppContext.BaseDirectory, ""Caskr.Server.xml"")). 5) **Example schemas**: Use [SwaggerSchema] attributes on models to add examples. 6) **Versioning**: Support /api/v1/ and /api/v2/ URLs (future-proofing). 7) **Public access**: Make /api/docs publicly accessible (no auth required) but show auth requirements for each endpoint. This enables third-party integrations and partner development."
P2-High,API Integration,Webhook System,API-002,Design webhook system architecture,Backend Service,5,21,None,"- Webhook subscriptions table (company, event types, target URL, secret)
- Webhook delivery log table (subscription, event, payload, status, retry count)
- Event types defined (barrel.created, order.completed, etc.)
- Retry mechanism with exponential backoff
- Webhook signature for security","Design webhook system to notify external systems of Caskr events. File: docs/WEBHOOK_SYSTEM_DESIGN.md and database migration. Architecture: 1) **Database schema**: File: Database/initdb.d/12-migration-webhooks.sql. Tables: webhook_subscriptions (id, company_id FK, name VARCHAR(200), target_url VARCHAR(500), event_types JSONB array (e.g., ['barrel.created', 'order.completed']), is_active BOOLEAN, secret_key VARCHAR(100) (for HMAC signature), created_by_user_id FK, created_at, updated_at). webhook_deliveries (id, subscription_id FK, event_type VARCHAR(100), event_id INTEGER (ID of triggering entity), payload JSONB (full event data), delivery_status ENUM('Pending', 'Success', 'Failed', 'Retrying'), http_status_code INTEGER, response_body TEXT, retry_count INTEGER DEFAULT 0, next_retry_at TIMESTAMP, delivered_at, created_at). 2) **Event types**: Define standard events: barrel.created, barrel.updated, barrel.deleted, barrel.moved, batch.created, batch.completed, order.created, order.completed, task.created, task.completed, transfer.created, ttb_report.submitted. Store in enum or config file. 3) **Webhook payload format**: Standardize JSON structure: {event_type, event_id, timestamp, data: {entity_data}, company_id}. Example: {event_type: 'barrel.created', event_id: 1234, timestamp: '2024-11-14T10:30:00Z', data: {id: 1234, sku: 'BAR-001', status: 'Filled', ...}, company_id: 1}. 4) **Security**: Generate secret_key (random 32-byte string) when subscription created. Sign payload with HMAC-SHA256 using secret. Include signature in HTTP header: X-Caskr-Signature: sha256=abcdef123.... Receiving system validates signature to ensure authenticity. 5) **Retry logic**: If delivery fails (HTTP status != 2xx or network error), retry with exponential backoff: Retry 1: after 1 min, Retry 2: after 5 min, Retry 3: after 15 min, Retry 4: after 1 hour, Retry 5: after 6 hours. After 5 failed retries, mark subscription as Failed, send alert email to creator. 6) **Rate limiting**: Max 100 webhooks per subscription per minute to prevent abuse. This design enables real-time integrations with external systems (e.g., trigger Slack notification when order completed, sync data to custom analytics platform)."
P2-High,API Integration,Webhook System,API-003,Implement webhook delivery service,Backend Service,8,21,API-002,"- Service fires webhooks on domain events
- HTTP client sends POST to target URL with payload
- Signature calculation and header injection
- Async delivery (doesn't block main request)
- Retry queue processing
- Logging all deliveries","Implement webhook delivery service. Files: Caskr.Server/Services/WebhookService.cs and background job. Implementation: 1) **Interface and service**: IWebhookService with methods: Task TriggerEventAsync(string eventType, int eventId, object eventData), Task<WebhookSubscription> CreateSubscriptionAsync(int companyId, WebhookSubscriptionRequest request), Task DeactivateSubscriptionAsync(int subscriptionId). Create WebhookService implementing interface. 2) **TriggerEventAsync implementation**: Fetch active subscriptions for this company WHERE event_types CONTAINS eventType (JSONB query). For each subscription: Create webhook_deliveries record with status = Pending. Queue delivery job (don't send immediately to avoid blocking). 3) **Webhook delivery worker**: Background service: WebhookDeliveryWorker : IHostedService. Runs continuously: Query webhook_deliveries WHERE delivery_status IN ('Pending', 'Retrying') AND next_retry_at <= NOW() ORDER BY created_at LIMIT 100. For each delivery: Build payload JSON from event data. Calculate HMAC signature: var signature = HMAC_SHA256(secret_key, payload); var signatureHeader = $""sha256={signature}"". Send HTTP POST to target_url with headers: Content-Type: application/json, X-Caskr-Signature: {signatureHeader}, User-Agent: Caskr-Webhooks/1.0. Timeout: 10 seconds. If success (status 200-299): Update delivery_status = Success, delivered_at = NOW(). If failure: Increment retry_count, Calculate next_retry_at using exponential backoff, Update delivery_status = Retrying or Failed (if retry_count >= 5). 4) **Domain event integration**: In BarrelsService, after barrel created, call webhookService.TriggerEventAsync(""barrel.created"", barrel.Id, barrel). Similar for all other domain events. Use MediatR library for clean event-driven architecture (optional). 5) **HTTP client**: Use HttpClient with retry policies (Polly library for transient failures). 6) **Logging**: Log all webhook deliveries (ILogger), include subscription ID, event type, status, response time. Critical for debugging integration issues. This enables real-time integrations. Test with webhook.site for easy testing."
P2-High,Customer Portals,Cask Ownership Portal,PORTAL-001,Design customer portal data model,Database Schema,3,22,None,"- Customer portal users table (separate from main users)
- Cask ownership records (customer, barrel, purchase info)
- Portal permissions and access levels
- Viewing history and activity logs","Design database schema for customer/investor portals. Allows external customers to view their cask investments. File: Database/initdb.d/13-migration-customer-portal.sql. Tables: 1) portal_users (id, email VARCHAR(200) UNIQUE, password_hash VARCHAR(500), first_name, last_name, phone, company_id FK (which distillery they're a customer of), is_active BOOLEAN, email_verified BOOLEAN, verification_token, password_reset_token, last_login_at, created_at). Separate from main users table for security (customers shouldn't access main app). 2) cask_ownerships (id, portal_user_id FK, barrel_id FK, purchase_date DATE, purchase_price DECIMAL(10,2), ownership_percentage DECIMAL(5,2) (allows fractional ownership), certificate_number VARCHAR(100), status ENUM('Active', 'Matured', 'Bottled', 'Sold'), notes TEXT, created_at). Links customers to their barrels. 3) portal_access_logs (id, portal_user_id FK, action VARCHAR(100) (Login, View_Barrel, Download_Certificate), ip_address VARCHAR(45), user_agent TEXT, accessed_at). Audit trail for security. 4) portal_documents (id, cask_ownership_id FK, document_type ENUM('Ownership_Certificate', 'Insurance_Document', 'Maturation_Report', 'Photo'), file_path VARCHAR(500), uploaded_by_user_id FK (distillery staff who uploaded), uploaded_at). Stores documents accessible to customers. 5) portal_notifications (id, portal_user_id FK, notification_type ENUM('Barrel_Milestone', 'Maturation_Update', 'Ready_For_Bottling'), title VARCHAR(200), message TEXT, is_read BOOLEAN DEFAULT false, sent_at). In-app notifications for portal users. Indexes on (company_id, email), (portal_user_id, barrel_id). This schema supports cask investment programs where customers buy individual barrels and track their aging."
P2-High,Customer Portals,Cask Ownership Portal,PORTAL-002,Create customer portal authentication,Backend Service,5,22,PORTAL-001,"- Separate auth for portal users (different from main app)
- Email/password registration and login
- Email verification required
- Password reset workflow
- JWT tokens for API access
- Security hardened (rate limiting, brute force protection)","Implement authentication for customer portal. Separate from main Keycloak SSO (customers don't need SSO). File: Caskr.Server/Controllers/PortalAuthController.cs and services. Implementation: 1) **Registration**: Endpoint: POST /api/portal/auth/register. Request: {email, password, firstName, lastName, phone, companyId (which distillery)}. Validation: Email format, password strength (min 8 chars, uppercase, lowercase, number), email not already registered. Hash password with BCrypt: var passwordHash = BCrypt.Net.BCrypt.HashPassword(password). Create portal_users record with email_verified = false. Generate verification token: var token = Guid.NewGuid().ToString(). Send verification email: Subject: 'Verify your email', Body: 'Click here to verify: https://portal.caskr.com/verify?token={token}'. Return success message (don't auto-login until verified). 2) **Email verification**: Endpoint: GET /api/portal/auth/verify?token={token}. Find portal_users WHERE verification_token = {token}. Set email_verified = true, clear token. Redirect to login page with success message. 3) **Login**: Endpoint: POST /api/portal/auth/login. Request: {email, password}. Find portal_user WHERE email = {email} AND is_active = true. Verify password: BCrypt.Net.BCrypt.Verify(password, user.password_hash). If invalid, increment failed_login_attempts. If attempts > 5, lock account for 30 min (rate limiting). If valid: Generate JWT token with claims: {userId, email, companyId, role: 'PortalUser'}. Token expiration: 24 hours. Return {accessToken, user: {id, email, firstName, lastName}}. Log login in portal_access_logs. 4) **Password reset**: Endpoint: POST /api/portal/auth/forgot-password. Request: {email}. Generate reset token, send email with link. Endpoint: POST /api/portal/auth/reset-password. Request: {token, newPassword}. Validate token, hash new password, update user. 5) **Logout**: Frontend clears token. Optional: Maintain token blacklist for immediate invalidation. Use ASP.NET Core Identity for password hashing/validation, or manual implementation with BCrypt. Add rate limiting middleware to prevent brute force attacks."
P2-High,Customer Portals,Cask Ownership Portal,PORTAL-003,Create customer portal UI,User Interface,8,23,PORTAL-002,"- Public-facing customer portal (separate from main Caskr app)
- Login/registration screens
- Dashboard showing customer's barrels
- Barrel detail page with aging info, photos, documents
- Download ownership certificates
- Contact distillery form","Create customer-facing portal application. This is a separate React app from the main Caskr client (different audience, different design). File structure: caskr.portal/ (new directory, separate React app). Implementation: 1) **Initialize app**: npx create-react-app caskr-portal --template typescript. Install dependencies: React Router, Redux Toolkit, Axios, React Hook Form, date-fns. 2) **Authentication screens**: /portal/login: Email/password login form, 'Forgot Password?' link, 'Don't have an account? Register' link. /portal/register: Registration form (email, password, confirm password, first name, last name, phone), Terms & Conditions checkbox, Submit calls POST /api/portal/auth/register. /portal/verify-email: Shows 'Please check your email' message after registration. Verify link (from email) redirects here, calls verification endpoint, shows success. /portal/forgot-password: Enter email, sends reset link. /portal/reset-password: Enter new password with token from email link. 3) **Dashboard** (/portal/dashboard): Header with portal user's name, logout button. Welcome message: 'Welcome back, John!'. List of customer's barrels (GET /api/portal/barrels). Each card shows: Barrel SKU (or custom name like 'My Bourbon Barrel'), Purchase date, Age in storage (calculated from fill date), Current location (Warehouse, Rick, Tier), Photo thumbnail (if uploaded by distillery), Status (Aging, Ready for Bottling, Bottled). Click card to navigate to barrel detail. 4) **Barrel detail page** (/portal/barrels/{id}): Full barrel information: Barrel details (SKU, batch, fill date, age, proof, volume), Maturation progress bar (e.g., '3 years of 5 year aging'), Aging chart (proof/volume over time if historical data exists), Photos carousel (distillery can upload photos of barrel), Documents list: Ownership Certificate (PDF download), Insurance document, Maturation reports (quarterly or annual reports from distillery). Action buttons: 'Download All Documents' (ZIP file), 'Contact Distillery' (opens contact form modal). 5) **Branding**: Use distillery's branding (logo, colors) if white-label option. Default: Caskr portal branding. 6) **Responsive**: Mobile-friendly design (customers likely viewing on phone). Use Material-UI or Chakra UI for clean, professional look. Deploy portal separately: portal.caskr.com or {distillery}.caskr.com (white-label subdomain)."
P3-NiceToHave,Quality Control,Lab Management,QC-001,Design lab management data model,Database Schema,5,24,None,"- Lab tests and analyses tracking
- Organoleptic evaluations (tasting notes)
- Chemical analysis results (ABV, pH, congeners)
- Quality checkpoints in production workflow
- Historical trending and comparison","Create database schema for quality control and lab management. File: Database/initdb.d/14-migration-quality-control.sql. Tables: 1) lab_test_types (id, test_name VARCHAR(200), test_category ENUM('Chemical', 'Organoleptic', 'Physical', 'Microbial'), description TEXT, required_equipment TEXT, standard_procedure TEXT, typical_frequency VARCHAR(100)). Examples: 'ABV Measurement', 'pH Test', 'Congener Analysis', 'Color Assessment', 'Sensory Evaluation'. 2) lab_tests (id, batch_id FK (optional), barrel_id FK (optional), test_type_id FK, test_date DATE, tested_by_user_id FK, status ENUM('Scheduled', 'In_Progress', 'Completed', 'Failed'), notes TEXT, created_at). Links tests to batches or barrels. 3) lab_test_results (id, lab_test_id FK, parameter_name VARCHAR(100), measured_value DECIMAL(10,4), unit VARCHAR(50), expected_range_min DECIMAL(10,4), expected_range_max DECIMAL(10,4), is_within_spec BOOLEAN, notes TEXT). Example: {parameter: 'ABV', value: 62.5, unit: '% alcohol by volume', expected_min: 60, expected_max: 65, within_spec: true}. Multiple results per test for multi-parameter tests. 4) sensory_evaluations (id, batch_id FK, barrel_id FK, evaluation_date DATE, evaluator_user_id FK, aroma_notes TEXT, taste_notes TEXT, mouthfeel_notes TEXT, finish_notes TEXT, overall_score INTEGER (1-10), defects TEXT, recommendation ENUM('Approve', 'Continue_Aging', 'Reject', 'Blend'), created_at). Tasting panel assessments. 5) quality_checkpoints (id, checkpoint_type ENUM('Pre_Mash', 'Post_Fermentation', 'Post_Distillation', 'Pre_Barrel', 'Mid_Aging', 'Pre_Bottling'), batch_id FK, checkpoint_date DATE, inspector_user_id FK, status ENUM('Pass', 'Fail', 'Conditional'), issues TEXT, corrective_actions TEXT). Quality gates in production workflow. Indexes on (batch_id, test_date), (barrel_id, test_date). This enables comprehensive quality tracking and regulatory compliance (especially for export markets requiring chemical analysis certificates)."
P3-NiceToHave,Quality Control,Lab Management,QC-002,Create lab test entry UI,User Interface,5,24,QC-001,"- Lab tests page with list of all tests
- Create new test form (select type, batch/barrel, date)
- Enter test results (dynamic form based on test type)
- Flag out-of-spec results automatically
- View historical test results for a batch/barrel","Create UI for lab technicians to record test results. File: caskr.client/src/pages/LabTestsPage.tsx. Implementation: 1) **Tests list**: Table showing all lab tests. Columns: [Test Date | Test Type | Batch/Barrel | Tested By | Status | Actions]. Filters: Date range, Test type, Status. Search by batch ID or barrel SKU. 2) **Create test button**: Opens modal/form. Select test type (dropdown of lab_test_types). Select subject: Batch (autocomplete search) OR Barrel (autocomplete or scan). Test date (date picker, default today). Tested by (dropdown of lab users, default current user). Notes (optional textarea). Submit creates lab_tests record with status = Scheduled or In_Progress. 3) **Enter results screen** (/lab-tests/{id}/results): Shows test details (type, subject, date, tester). Dynamic results form based on test type: For each parameter in test type (fetch from lab_test_types.parameters if configured, or allow custom entry). Row with: Parameter name, Measured value (number input), Unit (text), Expected range (min-max, pre-filled if standard), Within spec (auto-calculated checkbox, green if value between min-max, red if outside). Example: ABV | [62.5] | % | 60 - 65 | ✓ Within Spec. Notes field for each parameter. Overall test notes. Complete button changes status to Completed, saves all results to lab_test_results. 4) **Out-of-spec handling**: If any parameter out of spec (is_within_spec = false), show warning banner: 'Test failed - 2 parameters out of specification'. Require additional notes explaining issue. Optional: Create task for follow-up action (re-test, adjust process, escalate to production manager). 5) **Historical results**: In batch detail and barrel detail pages, add 'Lab Tests' tab. Shows all tests for that batch/barrel. Timeline view with test dates. Click test to view full results. Trending chart (line graph) for key parameters over time (e.g., ABV trend for barrel over aging period). 6) **Certificates**: Button to generate 'Certificate of Analysis' PDF for export customers (shows all test results in formatted report). Use existing PDF generation service. This enables rigorous quality control and documentation for premium spirits production."
P3-NiceToHave,Supply Chain,Supplier Management,SCM-001,Create supplier management data model,Database Schema,3,25,None,"- Suppliers table (name, contact info, supplier type)
- Purchase orders table
- Inventory receiving workflow
- Supplier product catalog
- Pricing history","Create database schema for supply chain management. File: Database/initdb.d/15-migration-supply-chain.sql. Tables: 1) suppliers (id, company_id FK, supplier_name VARCHAR(200), supplier_type ENUM('Grain', 'Cooperage', 'Bottles', 'Labels', 'Chemicals', 'Equipment', 'Other'), contact_person VARCHAR(200), email, phone, address TEXT, website, payment_terms VARCHAR(100) (e.g., 'Net 30', 'COD'), is_active BOOLEAN, notes TEXT, created_at). 2) supplier_products (id, supplier_id FK, product_name VARCHAR(200), product_category VARCHAR(100), sku VARCHAR(100), unit_of_measure VARCHAR(50), current_price DECIMAL(10,2), currency VARCHAR(3) DEFAULT 'USD', lead_time_days INTEGER, minimum_order_quantity INTEGER, notes TEXT). Catalog of products each supplier offers. 3) purchase_orders (id, company_id FK, supplier_id FK, po_number VARCHAR(100) UNIQUE, order_date DATE, expected_delivery_date DATE, status ENUM('Draft', 'Sent', 'Confirmed', 'Partial_Received', 'Received', 'Cancelled'), total_amount DECIMAL(12,2), currency VARCHAR(3), payment_status ENUM('Unpaid', 'Partial', 'Paid'), notes TEXT, created_by_user_id FK, created_at). 4) purchase_order_items (id, purchase_order_id FK, supplier_product_id FK, quantity DECIMAL(10,2), unit_price DECIMAL(10,2), total_price DECIMAL(10,2), received_quantity DECIMAL(10,2) DEFAULT 0, notes TEXT). Line items in PO. 5) inventory_receipts (id, purchase_order_id FK, receipt_date DATE, received_by_user_id FK, notes TEXT, created_at). Records receiving of goods. 6) inventory_receipt_items (id, inventory_receipt_id FK, purchase_order_item_id FK, received_quantity DECIMAL(10,2), condition ENUM('Good', 'Damaged', 'Partial'), notes TEXT). Details of what was received. 7) supplier_price_history (id, supplier_product_id FK, effective_date DATE, price DECIMAL(10,2), changed_by_user_id FK, change_reason TEXT). Track price changes for cost analysis. Indexes on (company_id, supplier_id), (po_number), (order_date). This enables procurement tracking and inventory receiving workflows."
P3-NiceToHave,Supply Chain,Supplier Management,SCM-002,Create purchase order UI,User Interface,5,25,SCM-001,"- PO creation form
- Line item management (add/remove items)
- Send PO to supplier (email PDF)
- Track PO status
- Receiving workflow (partial and full)","Create purchase order management UI. File: caskr.client/src/pages/PurchaseOrdersPage.tsx. Implementation: 1) **PO list**: Table showing all POs. Columns: [PO Number | Supplier | Order Date | Delivery Date | Status | Total | Actions]. Filters: Status, Supplier, Date range. Click PO to view details. 2) **Create PO form** (/purchase-orders/new): Select supplier (dropdown with autocomplete). Auto-generate PO number (format: PO-2024-001, incrementing). Order date (default today), Expected delivery date. Line items table: Columns [Product | Quantity | Unit | Price | Total | Actions]. 'Add Item' button: Select from supplier's product catalog (supplier_products WHERE supplier_id = selected). Enter quantity. Unit price auto-filled from supplier_products.current_price (editable). Total = quantity * unit_price. Remove button for each line item. Grand total auto-calculated at bottom. Notes textarea. Save as Draft button (status = Draft), Send to Supplier button (status = Sent, generates PDF, opens email). 3) **PO detail page** (/purchase-orders/{id}): Header: PO number, supplier, dates, status badge. Line items table (read-only or editable if Draft). Action buttons based on status: If Draft: Edit, Send to Supplier, Delete. If Sent/Confirmed: Mark as Received (opens receiving modal), Cancel PO. If Received: View Receipt. Receiving modal: For each line item, input 'Received Quantity' (default = ordered quantity). Condition dropdown (Good, Damaged, Partial). Notes field. Submit creates inventory_receipt and updates purchase_order status. If all items fully received, PO status = Received. If partial, status = Partial_Received. 4) **PDF generation**: Generate PO PDF with company letterhead, supplier address, line items table, total, terms. Use existing PDF service (iText7). 5) **Email integration**: 'Send to Supplier' button opens email modal with: To: supplier.email, Subject: 'Purchase Order #{po_number}', Body: customizable template, Attachment: PO PDF. Send via backend email service. This enables end-to-end procurement workflow from PO creation through receiving."
